control_engraftment,control_weight,control_volume,tazko_engraftment,tazko_weight,tazko_volume
engraft,0.139,51.31,engraft,0.0439,31.42
engraft,0.033,6.28,engraft,0.0354,39.27
engraft,0.0301,31.42,engraft,0.087,64.47
engraft,0.012,23.56,engraft,0.0227,5.55
engraft,0.0074,10.47,engraft,0.0354,31.42
engraft,0.0203,26.18,not_engraft,,
engraft,0.0072,3.14,not_engraft,,
engraft,0.0957,167.55,not_engraft,,
engraft,0.0333,6.28,not_engraft,,
engraft,0.0779,43.47,not_engraft,,
engraft,0.0308,36.21,not_engraft,,
engraft,0.0069,8.85,not_engraft,,
engraft,0.0062,8.95,not_engraft,,
engraft,0.0042,7.85,not_engraft,,
not_engraft,,,not_engraft,,
not_engraft,,,not_engraft,,
not_engraft,,,not_engraft,,
not_engraft,,,not_engraft,,
not_engraft,,,not_engraft,,
not_engraft,,,not_engraft,,
